WORD	POS	DBO_TAG
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
dog	ADV	[('12|037|Indvende, protestere', 0.926)]
langt	ADV	--
fra	ADP	[('03|002|Beliggenhed, sted', 0.959), ('09|026|Begynde', 0.956), ('05|042|Oprindelse', 0.928)]
intellektuel	ADJ	[('15|056|Samfundslag', 0.967), ('11|044|Klog', 0.964), ('11|002|Tanke, indskydelse', 0.947)]
konceptkunst	NOUN	[('14|004|Stilarter', 0.959)]
,	PUNCT	--
selv	ADV	[('11|042|Overraskelse', 0.94)]
om	ADP	[('11|005|Tema', 0.924)]
der	ADV	[('03|003|Tilstedeværelse', 0.882)]
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
tale	NOUN	[('12|008|Sprog', 0.975), ('12|015|Tale', 0.956), ('12|016|Snakkesalig', 0.952), ('12|021|Enetale', 0.887)]
om	ADP	[('11|005|Tema', 0.924)]
installationer	NOUN	[('19|003|Bygningsdel', 0.987), ('19|018|Computer', 0.983), ('14|001|Kunst, kulturliv', 0.977), ('19|014|Elektriske anlæg', 0.971)]
med	ADP	[('13|004|Matematik', 0.978), ('15|009|Gruppe', 0.974), ('04|042|Tilhørende', 0.946), ('05|014|Relation, sammenhæng', 0.934), ('09|067|Middel', 0.927)]
fokus	NOUN	[('07|012|Optiske instrumenter', 0.944)]
på	ADP	[('09|067|Middel', 0.914)]
kunstnerens	NOUN	[('20|001|Stillingsbetegnelser', 0.992), ('09|047|Dygtighed, behændighed', 0.958)]
rolle	NOUN	[('14|023|Teater, optræden', 0.983), ('02|044|Psykologi', 0.958)]
i	ADP	[('19|008|Tøj, påklædning', 0.99), ('13|004|Matematik', 0.978), ('03|002|Beliggenhed, sted', 0.962), ('06|004|Klokkeslæt, dato', 0.96), ('03|003|Tilstedeværelse', 0.9)]
værkprocessen	NOUN	--
.	PUNCT	--
Omdrejningspunktet	NOUN	[('08|043|Rundt', 0.951), ('11|005|Tema', 0.929)]
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
at	PART	[('12|025|Grammatik', 0.975)]
søge	VERB	[('20|008|Besidde, eje', 0.973), ('19|020|Internet', 0.97), ('20|002|Ansættelse', 0.957), ('09|035|Iver, ihærdighed', 0.952)]
efter	ADP	[('06|015|Efter, senere', 0.951), ('03|034|Række', 0.944)]
universelle	ADJ	[('06|009|Altid', 0.865)]
,	PUNCT	--
harmoniske	ADJ	[('14|011|Musik', 0.986), ('19|002|Byggeri', 0.984), ('15|014|Enighed', 0.951), ('16|017|Velsmag', 0.941), ('14|019|Velklang', 0.925)]
værdier	NOUN	[('20|026|Salg, værdi', 0.98), ('09|043|Nyttig', 0.946)]
uden	ADP	[('04|029|Fjerne, formindske', 0.942), ('04|025|For lidt', 0.921)]
af	ADP	[('05|042|Oprindelse', 0.921)]
den	DET	[('06|004|Klokkeslæt, dato', 0.953)]
grund	NOUN	[('14|005|Tegning, maleri', 0.975), ('01|016|Jordstykke', 0.967), ('12|035|Argumentere, bevise', 0.966), ('11|015|Grundsætning, princip', 0.962), ('03|015|Understøtte', 0.939), ('04|015|Lavvandet', 0.928)]
at	PART	[('12|025|Grammatik', 0.975)]
vende	VERB	[('16|010|Madlavning og husholdning', 0.983), ('20|038|Værdipapirer', 0.978), ('08|043|Rundt', 0.953)]
ryggen	NOUN	[('19|008|Tøj, påklædning', 0.989), ('12|046|Bog, hæfte', 0.984), ('19|005|Støtte', 0.963), ('03|026|Bagved', 0.917)]
til	ADP	[('13|005|Geometri, figur', 0.973), ('08|023|Styre mod, retning', 0.949), ('09|014|Hensigt, formål', 0.937), ('05|018|Ligne', 0.924)]
samtidens	NOUN	--
kunstformer	NOUN	[('14|001|Kunst, kulturliv', 0.973)]
.	PUNCT	--
Den	DET	[('06|004|Klokkeslæt, dato', 0.953)]
anden	DET	--
kunstner	NOUN	[('20|001|Stillingsbetegnelser', 0.992), ('09|047|Dygtighed, behændighed', 0.958)]
,	PUNCT	--
Osamu	PROPN	--
Nagasaka	PROPN	--
,	PUNCT	--
forsøger	VERB	[('09|025|Forsøge, prøve', 0.905)]
på	ADP	[('09|067|Middel', 0.914)]
lignende	ADJ	--
vis	NOUN	[('22|015|Helligdom, kultsted', 0.967)]
at	PART	[('12|025|Grammatik', 0.975)]
opdatere	VERB	[('09|052|Forbedre', 0.96), ('06|019|Nutid', 0.903)]
den	DET	[('06|004|Klokkeslæt, dato', 0.953)]
japanske	ADJ	[('18|003|Verdens lande og hovedstæder', 0.981), ('12|008|Sprog', 0.972)]
maleritradition	NOUN	--
ved	ADP	[('03|002|Beliggenhed, sted', 0.957), ('03|007|Nær', 0.904)]
at	PART	[('12|025|Grammatik', 0.975)]
referere	VERB	[('12|025|Grammatik', 0.977), ('12|029|Korthed, sammendrag', 0.958)]
til	ADP	[('13|005|Geometri, figur', 0.973), ('08|023|Styre mod, retning', 0.949), ('09|014|Hensigt, formål', 0.937), ('05|018|Ligne', 0.924)]
moderne	ADJ	[('19|008|Tøj, påklædning', 0.989), ('19|002|Byggeri', 0.983)]
,	PUNCT	--
vestlige	ADJ	--
avantgardeikoner	NOUN	--
som	ADP	--
Marcel	PROPN	--
Duchamp	PROPN	--
og	KONJ	[('04|028|Tilføje', 0.932)]
Joseph	PROPN	--
Beuys	PROPN	--
.	PUNCT	--
Smukt	ADJ	[('12|028|Retorik, billedsprog', 0.952), ('10|010|Begejstre, glæde', 0.937)]
og	KONJ	[('04|028|Tilføje', 0.932)]
poetisk	ADJ	[('14|022|Lyrik', 0.972), ('10|022|Stemning', 0.927)]
maleri	NOUN	[('19|010|Pynt og smykker', 0.979), ('14|005|Tegning, maleri', 0.971)]
,	PUNCT	--
det	PRON	--
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
det	PRON	--
.	PUNCT	--
På	ADP	[('09|067|Middel', 0.914)]
lærred	NOUN	[('19|009|Tekstil, håndarbejde', 0.985), ('14|010|Film og biograf', 0.977), ('14|005|Tegning, maleri', 0.973)]
efter	ADP	[('06|015|Efter, senere', 0.951), ('03|034|Række', 0.944)]
lærred	NOUN	[('19|009|Tekstil, håndarbejde', 0.985), ('14|010|Film og biograf', 0.977), ('14|005|Tegning, maleri', 0.973)]
indgår	ADV	--
kalket	VERB	[('02|004|Landbrug, havebrug', 0.98), ('07|015|Farve', 0.97), ('07|017|Hvid', 0.947)]
gråt	ADJ	[('21|009|Forbrydelse', 0.981), ('10|025|Kedelig, kede sig', 0.958), ('07|019|Grå', 0.938), ('07|016|Farveløs', 0.935)]
mudder	NOUN	[('09|058|Grise, svine', 0.96)]
samt	KONJ	[('04|028|Tilføje', 0.932)]
violette	VERB	--
og	KONJ	[('04|028|Tilføje', 0.932)]
grønne	ADJ	[('16|006|Mad og madretter', 0.992), ('20|047|Landbrugsvirksomhed', 0.982), ('02|001|Vegetation', 0.98), ('01|020|Økologi, miljøbeskyttelse', 0.968), ('06|026|Ny', 0.958), ('07|022|Grøn', 0.943)]
toner	NOUN	[('14|011|Musik', 0.986), ('07|015|Farve', 0.971), ('12|015|Tale', 0.956), ('07|018|Sort', 0.931)]
i	ADP	[('19|008|Tøj, påklædning', 0.99), ('13|004|Matematik', 0.978), ('03|002|Beliggenhed, sted', 0.962), ('06|004|Klokkeslæt, dato', 0.96), ('03|003|Tilstedeværelse', 0.9)]
et	DET	--
delikat	ADJ	[('16|017|Velsmag', 0.937), ('10|040|Forsigtig', 0.934), ('10|017|Smag, kunstnerisk sans', 0.932)]
spil	NOUN	[('19|012|Værktøj, redskab', 0.989), ('14|023|Teater, optræden', 0.986), ('14|015|Musikinstrumenter', 0.982), ('17|024|Leg og legetøj', 0.982), ('14|018|Rytmisk musik', 0.978), ('17|017|Ketsjersport', 0.967), ('07|027|Flerfarvet', 0.959), ('11|045|Snedig', 0.957), ('05|047|Skæbne, tilfælde', 0.932)]
med	ADP	[('13|004|Matematik', 0.978), ('15|009|Gruppe', 0.974), ('04|042|Tilhørende', 0.946), ('05|014|Relation, sammenhæng', 0.934), ('09|067|Middel', 0.927)]
sort	ADJ	[('15|001|Indbygger, befolkning', 0.988), ('21|009|Forbrydelse', 0.983), ('15|002|Fremmede, udlandet', 0.978), ('09|058|Grise, svine', 0.969), ('10|032|Tristhed', 0.968), ('12|027|Utydelig, uforståelig', 0.965), ('07|019|Grå', 0.944), ('07|018|Sort', 0.938)]
og	KONJ	[('04|028|Tilføje', 0.932)]
hvid	ADJ	[('16|009|Alkohol', 0.983), ('12|041|Skrift', 0.98), ('15|002|Fremmede, udlandet', 0.976), ('07|017|Hvid', 0.95), ('07|016|Farveløs', 0.937)]
,	PUNCT	--
overlejret	NOUN	--
af	ADP	[('05|042|Oprindelse', 0.921)]
blå	ADJ	[('18|005|Politiske holdninger', 0.977), ('09|037|Anstrengelse', 0.958), ('07|025|Blå', 0.941)]
.	PUNCT	--
