ORIGINAL_IDX	TOKEN	POS	DDB1	DDB2	DDB3
213	med	ADP	04|042|Tilhørende	09|067|Middel	13|004|Matematik
214	at	KONJ	04|042|Tilhørende	09|067|Middel	13|004|Matematik
215	skifte	VERB	17|028|Rejser, turisme	09|062|Ombytte	20|008|Besidde, eje
216	hovedfokus	ADV	17|028|Rejser, turisme	09|062|Ombytte	20|008|Besidde, eje
217	.	PUNCT	-	-	-
218	»	PUNCT	-	-	-
219	Det	PRON	17|028|Rejser, turisme	09|062|Ombytte	20|008|Besidde, eje
220	er	VERB	12|011|Betegnelse, ord	12|012|Betydning	07|001|Synlig
221	et	DET	12|011|Betegnelse, ord	12|012|Betydning	07|001|Synlig
222	fokus	NOUN	07|012|Optiske instrumenter	-	-
223	på	ADP	09|067|Middel	-	-
224	økonomien	NOUN	13|019|Samfundsvidenskab	18|002|Stat, nation	20|034|Privatøkonomi, forbrug
225	som	ADP	13|019|Samfundsvidenskab	18|002|Stat, nation	20|034|Privatøkonomi, forbrug
226	det	DET	13|019|Samfundsvidenskab	18|002|Stat, nation	20|034|Privatøkonomi, forbrug
227	definerende	VERB	12|034|Gøre forståelig, forklare	-	-
228	emne	NOUN	19|024|Råstoffer, materialer	-	-
229	i	ADP	19|008|Tøj, påklædning	13|004|Matematik	03|002|Beliggenhed, sted
230	valgkampen	NOUN	18|009|Valghandling	-	-
231	«	NOUN	18|009|Valghandling	-	-
232	,	PUNCT	-	-	-
233	siger	VERB	12|002|Fortælle	-	-
234	en	DET	12|002|Fortælle	-	-
235	medarbejder	NOUN	20|001|Stillingsbetegnelser	20|041|Virksomhed, ledelse	-
236	fra	ADP	09|026|Begynde	05|042|Oprindelse	03|002|Beliggenhed, sted
237	Trumps	PROPN	09|026|Begynde	05|042|Oprindelse	03|002|Beliggenhed, sted
238	valgkampagne	NOUN	18|009|Valghandling	-	-
239	til	ADP	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
240	Fox	PROPN	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
241	News	PROPN	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
242	og	KONJ	04|028|Tilføje	-	-
243	Reuters	PROPN	04|028|Tilføje	-	-
244	.	PUNCT	-	-	-
245	Trump-lejren	NOUN	04|028|Tilføje	-	-
246	har	VERB	04|042|Tilhørende	20|008|Besidde, eje	02|037|Sygdom
247	derfor	ADV	11|014|Konkludere	-	-
248	investeret	VERB	20|038|Værdipapirer	20|039|Økonomisk politik	-
249	små	ADJ	04|004|Lille	04|013|Lav	04|046|Mindre grad
250	65	NUM	04|033|Tal	-	-
251	millioner	NOUN	04|033|Tal	-	-
252	kroner	NOUN	19|010|Pynt og smykker	20|024|Penge	14|007|Udsmykning
253	ekstra	ADJ	19|010|Pynt og smykker	20|024|Penge	14|007|Udsmykning
254	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
255	nye	ADJ	06|026|Ny	-	-
256	amerikanske	ADJ	18|003|Verdens lande og hovedstæder	12|008|Sprog	-
257	tv-reklamer	NOUN	20|043|Markedsføring	-	-
258	,	PUNCT	-	-	-
259	som	PRON	20|043|Markedsføring	-	-
260	fra	ADP	03|002|Beliggenhed, sted	05|042|Oprindelse	09|026|Begynde
261	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
262	dag	NOUN	11|011|Måle, regne	-	-
263	tirsdag	NOUN	06|004|Klokkeslæt, dato	-	-
264	skal	VERB	12|011|Betegnelse, ord	07|054|Løs	02|037|Sygdom
265	hamre	VERB	05|038|Voldsom	07|034|Længerevarende og gentagne lyde	19|012|Værktøj, redskab
266	budskabet	NOUN	12|006|Nyhed	22|001|Religiøsitet, tro	-
267	fast	ADV	05|018|Ligne	-	-
268	.	PUNCT	-	-	-
269	I	ADP	06|004|Klokkeslæt, dato	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
270	weekenden	NOUN	17|025|Fridag, mærkedag	-	-
271	besøgte	VERB	17|026|Fornøjelser og fritidsaktiviteter	17|027|Selskabelighed, fest	-
272	Trump	PROPN	17|026|Fornøjelser og fritidsaktiviteter	17|027|Selskabelighed, fest	-
273	også	ADV	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
274	Nevada	PROPN	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
275	–	PROPN	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
276	en	DET	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
277	stat	NOUN	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
278	,	PUNCT	-	-	-
279	der	PRON	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
280	ikke	ADV	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
281	har	VERB	20|008|Besidde, eje	12|011|Betegnelse, ord	02|037|Sygdom
282	været	VERB	11|011|Måle, regne	08|001|Opholdssted, beboet sted	12|011|Betegnelse, ord
283	et	DET	11|011|Måle, regne	08|001|Opholdssted, beboet sted	12|011|Betegnelse, ord
284	brændpunkt	NOUN	18|020|Krig	03|027|Centrum	13|005|Geometri, figur
285	for	ADP	03|025|Foran	20|025|Køb, handel	09|067|Middel
286	raceuroligheder	NOUN	18|017|Protest, oprør	-	-
287	eller	KONJ	18|017|Protest, oprør	-	-
288	demonstrationer	NOUN	18|017|Protest, oprør	09|061|Hjælp	11|019|Mening, holdning
289	,	PUNCT	-	-	-
290	men	KONJ	12|037|Indvende, protestere	-	-
291	som	ADP	12|037|Indvende, protestere	-	-
292	til	ADP	08|023|Styre mod, retning	13|005|Geometri, figur	09|014|Hensigt, formål
293	gengæld	NOUN	08|023|Styre mod, retning	13|005|Geometri, figur	09|014|Hensigt, formål
294	er	VERB	08|001|Opholdssted, beboet sted	11|011|Måle, regne	12|011|Betegnelse, ord
295	hårdest	ADV	08|001|Opholdssted, beboet sted	11|011|Måle, regne	12|011|Betegnelse, ord
296	ramt	VERB	08|034|Mødes, støde sammen	19|026|Skydevåben	-
297	i	ADP	13|004|Matematik	06|004|Klokkeslæt, dato	19|008|Tøj, påklædning
298	hele	ADJ	06|004|Klokkeslæt, dato	13|004|Matematik	09|051|Kvalitet, perfekt
299	USA	PROPN	06|004|Klokkeslæt, dato	13|004|Matematik	09|051|Kvalitet, perfekt
300	af	ADP	05|042|Oprindelse	-	-
301	arbejdsløshed	NOUN	20|005|Arbejdsløshed	-	-
302	på	ADP	09|067|Middel	-	-
303	grund	NOUN	04|015|Lavvandet	03|015|Understøtte	14|005|Tegning, maleri
304	af	ADP	05|042|Oprindelse	-	-
305	coronakrisen	NOUN	05|042|Oprindelse	-	-
306	.	PUNCT	-	-	-
307	Her	ADV	03|003|Tilstedeværelse	20|016|Forære, forsørge	-
308	slog	VERB	04|045|Højere grad	19|025|Simple våben	18|020|Krig
309	Trump	PROPN	04|045|Højere grad	19|025|Simple våben	18|020|Krig
310	på	ADP	09|067|Middel	-	-
311	at	KONJ	09|067|Middel	-	-
312	genrejse	VERB	19|002|Byggeri	09|052|Forbedre	-
313	økonomien	NOUN	20|034|Privatøkonomi, forbrug	20|045|Overskud	18|002|Stat, nation
314	.	PUNCT	-	-	-
315	»	PUNCT	-	-	-
316	Jeg	PRON	20|034|Privatøkonomi, forbrug	20|045|Overskud	18|002|Stat, nation
317	går	VERB	20|026|Salg, værdi	20|004|Fratrædelse	08|017|Flyvemaskine
318	efter	ADP	03|034|Række	06|015|Efter, senere	-
319	at	KONJ	03|034|Række	06|015|Efter, senere	-
320	blive	VERB	11|011|Måle, regne	12|011|Betegnelse, ord	-
321	genvalgt	VERB	18|009|Valghandling	-	-
322	for	ADP	03|025|Foran	09|067|Middel	20|025|Køb, handel
323	at	KONJ	03|025|Foran	09|067|Middel	20|025|Køb, handel
324	for	ADP	09|067|Middel	03|025|Foran	20|025|Køb, handel
325	at	KONJ	09|067|Middel	03|025|Foran	20|025|Køb, handel
326	genoprette	VERB	09|053|Reproducere	-	-
327	den	DET	06|004|Klokkeslæt, dato	-	-
328	fantastiske	ADJ	04|044|Høj grad	10|010|Begejstre, glæde	12|040|Overdrive
329	velstand	NOUN	20|011|Fattigdom	-	-
330	,	PUNCT	-	-	-
331	vi	PRON	15|057|Aristokrati	-	-
332	har	VERB	04|042|Tilhørende	12|011|Betegnelse, ord	06|004|Klokkeslæt, dato
333	oplevet	VERB	11|041|Realitet	10|017|Smag, kunstnerisk sans	-
334	«	NOUN	11|041|Realitet	10|017|Smag, kunstnerisk sans	-
335	,	PUNCT	-	-	-
336	sagde	VERB	12|002|Fortælle	-	-
337	Trump	PROPN	12|002|Fortælle	-	-
338	blandt	ADP	04|042|Tilhørende	08|039|Placere mellem	-
339	andet	PRON	04|042|Tilhørende	08|039|Placere mellem	-
340	ved	ADP	03|002|Beliggenhed, sted	03|007|Nær	-
341	sit	DET	03|002|Beliggenhed, sted	03|007|Nær	-
342	vælgermøde	NOUN	18|009|Valghandling	-	-
343	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
344	Las	PROPN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
345	Vegas	PROPN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
346	.	PUNCT	-	-	-
