WORD	POS	DBO_TAG
usikkerheder	NOUN	[('18|020|Krig', 0.983), ('11|020|Skepsis, mistro', 0.94), ('10|048|Usikkerhed', 0.934)]
og	KONJ	[('04|028|Tilføje', 0.932)]
komplekser	NOUN	[('19|002|Byggeri', 0.984), ('02|038|Psykiske lidelser', 0.967), ('04|039|Helhed', 0.951), ('10|049|Samvittighed, skyldfølelse', 0.949)]
.	PUNCT	--
Det	PRON	--
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
altså	ADV	[('12|012|Betydning', 0.957), ('12|034|Gøre forståelig, forklare', 0.956), ('10|057|Pirrelig, irritabel', 0.946)]
blevet	VERB	[('11|011|Måle, regne', 0.979), ('12|011|Betegnelse, ord', 0.971)]
tilladt	VERB	[('05|002|Mulig', 0.923)]
at	PART	[('12|025|Grammatik', 0.975)]
være	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
menneskelig	ADJ	[('15|034|Tilgive', 0.903)]
og	KONJ	[('04|028|Tilføje', 0.932)]
sårbar	ADJ	[('10|006|Følsomhed', 0.939), ('05|039|Svag', 0.923)]
,	PUNCT	--
selv	ADV	[('11|042|Overraskelse', 0.94)]
om	ADP	[('11|005|Tema', 0.924)]
man	PRON	--
går	VERB	[('17|026|Fornøjelser og fritidsaktiviteter', 0.985), ('20|026|Salg, værdi', 0.982), ('14|010|Film og biograf', 0.979), ('08|017|Flyvemaskine', 0.978), ('20|004|Fratrædelse', 0.949)]
i	ADP	[('19|008|Tøj, påklædning', 0.99), ('13|004|Matematik', 0.978), ('03|002|Beliggenhed, sted', 0.962), ('06|004|Klokkeslæt, dato', 0.96), ('03|003|Tilstedeværelse', 0.9)]
jakkesæt	NOUN	[('19|008|Tøj, påklædning', 0.988)]
.	PUNCT	--
""""	PUNCT	--
[	PUNCT	--
...	PUNCT	--
]	PUNCT	--
""""	PUNCT	--
konkluderer	VERB	[('11|014|Konkludere', 0.928)]
Vibeke	PROPN	--
Pedersen	PROPN	--
.	PUNCT	--
Og	KONJ	[('04|028|Tilføje', 0.932)]
på	ADP	[('09|067|Middel', 0.914)]
et	DET	--
advokatkontor	NOUN	--
,	PUNCT	--
hvor	ADV	[('03|002|Beliggenhed, sted', 0.959), ('12|019|Spørgsmål', 0.95), ('11|042|Overraskelse', 0.946)]
man	PRON	--
højlydt	ADV	--
erklærer	VERB	[('12|006|Nyhed', 0.936)]
,	PUNCT	--
at	PART	[('12|025|Grammatik', 0.975)]
